rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq e3 0 1;na6 nc6 nf6 nh6 pa5 pa6 pb5 pb6 pc5 pc6 pd5 pd6 pe5 pe6 pf5 pf6 pg5 pg6 ph5 ph6 
rnbqkbnr/ppp1pppp/8/3p4/4P3/8/PPPP1PPP/RNBQKBNR w KQkq d6 0 1;ba6 bb5 bc4 bd3 be2 ke2 na3 nc3 ne2 nf3 nh3 pa3 pa4 pb3 pb4 pc3 pc4 pd3 pd4 pd5 pe5 pf3 pf4 pg3 pg4 ph3 ph4 qe2 qf3 qg4 qh5 
rnbqkbnr/ppp1pppp/8/3p4/4P3/2N5/PPPP1PPP/R1BQKBNR b KQkq - 0 1;bd7 be6 bf5 bg4 bh3 kd7 na6 nc6 nd7 nf6 nh6 pa5 pa6 pb5 pb6 pc5 pc6 pd4 pe4 pe5 pe6 pf5 pf6 pg5 pg6 ph5 ph6 qd6 qd7 
r1bqkbnr/ppp1pppp/2n5/3p4/4P3/2N5/PPPP1PPP/R1BQKBNR w KQkq - 0 1;ba6 bb5 bc4 bd3 be2 ke2 na4 nb1 nb5 nd5 ne2 ne2 nf3 nh3 pa3 pa4 pb3 pb4 pd3 pd4 pd5 pe5 pf3 pf4 pg3 pg4 ph3 ph4 qe2 qf3 qg4 qh5 rb1 
r1bqkbnr/ppp1pppp/2n5/3p4/4P3/2N2N2/PPPP1PPP/R1BQKB1R b KQkq - 0 1;bd7 be6 bf5 bg4 bh3 kd7 na5 nb4 nb8 nd4 ne5 nf6 nh6 pa5 pa6 pb5 pb6 pd4 pe4 pe5 pe6 pf5 pf6 pg5 pg6 ph5 ph6 qd6 qd7 rb8 
r1bqkb1r/ppp1pppp/2n2n2/3p4/4P3/2N2N2/PPPP1PPP/R1BQKB1R w KQkq - 0 1;ba6 bb5 bc4 bd3 be2 ke2 na4 nb1 nb5 nd4 nd5 ne2 ne5 ng1 ng5 nh4 pa3 pa4 pb3 pb4 pd3 pd4 pd5 pe5 pg3 pg4 ph3 ph4 qe2 rb1 rg1 
r1bqkb1r/ppp1pppp/2n2n2/1B1p4/4P3/2N2N2/PPPP1PPP/R1BQK2R b KQkq - 0 1;bd7 be6 bf5 bg4 bh3 kd7 na5 nb4 nb8 nd4 nd7 ne4 ne5 ng4 ng8 nh5 pa5 pa6 pb6 pd4 pe4 pe5 pe6 pg5 pg6 ph5 ph6 qd6 qd7 rb8 rg8 
r2qkb1r/ppp1pppp/2n2n2/1B1p4/4P1b1/2N2N2/PPPP1PPP/R1BQK2R w KQkq - 0 1;ba4 ba6 bc4 bc6 bd3 be2 bf1 ke2 kf1 na4 nb1 nd4 nd5 ne2 ne5 ng1 ng5 nh4 pa3 pa4 pb3 pb4 pd3 pd4 pd5 pe5 pg3 ph3 ph4 qe2 rb1 rf1 rg1 o-o 
r2qkb1r/ppp1pppp/2n2n2/1B1p4/3PP1b1/2N2N2/PPP2PPP/R1BQK2R b KQkq d3 0 1;bc8 bd7 be6 bf3 bf5 bh3 bh5 kd7 na5 nb4 nb8 nd4 nd7 ne4 ne5 ng8 nh5 pa5 pa6 pb6 pe4 pe5 pe6 pg5 pg6 ph5 ph6 qb8 qc8 qd6 qd7 rb8 rc8 rg8 
r2qkb1r/ppp1pppp/2n5/1B1p4/3Pn1b1/2N2N2/PPP2PPP/R1BQK2R w KQkq - 0 1;ba4 ba6 bc4 bc6 bd2 bd3 be2 be3 bf1 bf4 bg5 bh6 kd2 ke2 kf1 na4 nb1 nd2 nd5 ne2 ne4 ne5 ng1 ng5 nh4 pa3 pa4 pb3 pb4 pg3 ph3 ph4 qd2 qd3 qe2 rb1 rf1 rg1 o-o 
r2qkb1r/ppp1pppp/2n5/1B1p4/3PN1b1/5N2/PPP2PPP/R1BQK2R b KQkq - 0 1;bc8 bd7 be6 bf3 bf5 bh3 bh5 kd7 na5 nb4 nb8 nd4 ne5 pa5 pa6 pb6 pe4 pe5 pe6 pf5 pf6 pg5 pg6 ph5 ph6 qb8 qc8 qd6 qd7 rb8 rc8 rg8 
r3kb1r/ppp1pppp/2nq4/1B1p4/3PN1b1/5N2/PPP2PPP/R1BQK2R w KQkq - 0 1;ba4 ba6 bc4 bc6 bd2 bd3 be2 be3 bf1 bf4 bg5 bh6 kd2 ke2 kf1 nc3 nc5 nd2 nd2 nd6 ne5 nf6 ng1 ng3 ng5 ng5 nh4 pa3 pa4 pb3 pb4 pc3 pc4 pg3 ph3 ph4 qd2 qd3 qe2 rb1 rf1 rg1 o-o 
r3kb1r/ppp1pppp/2nq4/1B1p4/3PN1b1/5N2/PPP2PPP/R1BQ1RK b KQkq - 0 1;bc8 bd7 be6 bf3 bf5 bh3 bh5 kd7 kd8 na5 nb4 nb8 nd4 nd8 ne5 o-o-o pa5 pa6 pb6 pe4 pe5 pe6 pf5 pf6 pg5 pg6 ph5 ph6 qa3 qb4 qc5 qd7 qd8 qe5 qe6 qf4 qf6 qg3 qg6 qh2 qh6 rb8 rc8 rd8 rg8 
2kr1b1r/ppp1pppp/2nq4/1B1p4/3PN1b1/5N2/PPP2PPP/R1BQ1RK w KQkq - 0 1;ba4 ba6 bc4 bc6 bd2 bd3 be2 be3 bf4 bg5 bh6 kh1 nc3 nc5 nd2 nd2 nd6 ne1 ne5 nf6 ng3 ng5 ng5 nh4 pa3 pa4 pb3 pb4 pc3 pc4 pg3 ph3 ph4 qd2 qd3 qe1 qe2 rb1 re1 
